id,loan_status,loan_amnt,int_rate,installment,annual_inc,verification_status,revol_bal,revol_util,total_acc,acc_open_past_24mths,total_pymnt,home_ownership_OWN,home_ownership_RENT
48574250,1,5000,9.17,159.4,52000.0,0,8330,64.1,37,8,5016.56,0.0,1.0
60015191,1,5000,6.24,152.66,64000.0,1,57851,76.0,37,3,5178.78,0.0,0.0
54393848,1,19000,9.17,605.7,100000.0,0,16586,59.0,17,3,20752.22,0.0,0.0
59591672,1,3000,13.99,102.52,68000.0,1,7547,64.5,24,12,3296.73,0.0,0.0
43829633,1,6000,12.29,200.12,55000.0,1,10851,72.3,29,6,6129.1,0.0,1.0
50626260,1,20000,7.26,619.93,96000.0,1,18818,33.9,23,3,21032.83,0.0,0.0
42474620,1,22000,7.89,688.29,104000.0,1,23310,59.9,21,3,23881.3615471,0.0,1.0
52516180,1,9000,6.24,274.78,60000.0,0,16432,68.8,39,4,9479.09,1.0,0.0
44837110,1,24000,6.92,740.18,75000.0,1,51742,59.0,29,3,25312.8,0.0,0.0
63568589,1,14000,6.89,431.58,200000.0,1,40829,62.5,36,4,14859.5,0.0,0.0
55178885,1,10000,13.33,338.54,84000.0,0,51097,34.3,40,5,10750.15,0.0,0.0
67788888,1,6000,14.48,206.47,50000.0,1,9886,76.0,19,7,6276.6494275,0.0,1.0
61380418,1,2500,9.99,80.66,40000.0,1,13305,55.4,11,1,2600.42,0.0,1.0
38538694,0,2000,11.44,65.9,66000.0,1,4376,45.1,31,4,1051.86,0.0,1.0
55259312,0,4525,18.55,164.85,32000.0,0,15,0.4,9,6,1643.84,1.0,0.0
52026898,1,35000,9.17,1115.77,150000.0,1,26896,33.4,28,3,38083.23,0.0,0.0
66006528,0,20000,9.17,637.58,72000.0,0,25684,57.8,20,1,4016.34,1.0,0.0
58140275,1,11875,12.69,398.35,27000.0,1,12272,50.1,25,5,13036.5400049,0.0,1.0
39360401,1,10000,12.39,334.01,36400.0,1,7301,82.0,6,1,10888.44,0.0,1.0
40540724,1,24000,12.39,801.63,82000.0,1,10798,98.2,15,0,26504.17,0.0,0.0
58494009,1,28000,6.24,854.87,70000.0,1,13522,59.0,26,0,28668.15,0.0,1.0
40462177,1,12000,10.49,389.98,65000.0,0,14236,86.3,9,1,13102.05,0.0,1.0
43499929,1,2000,12.69,67.09,38000.0,0,16575,78.9,39,5,2236.1,0.0,1.0
63487426,1,8000,14.65,275.96,23000.0,1,7959,29.8,27,4,9018.59,0.0,1.0
49277276,1,4000,9.99,129.05,70000.0,1,113308,84.0,44,9,4280.43,0.0,0.0
38598060,0,35000,9.49,1120.99,102000.0,1,35375,26.4,58,7,17931.46,0.0,0.0
55941111,1,12000,7.26,371.96,45600.0,0,15092,54.5,26,6,12759.6,0.0,0.0
62082597,1,4200,13.99,143.53,87000.0,1,37813,79.8,19,2,4263.26,0.0,0.0
40373948,1,5000,10.99,163.67,30000.0,1,673,3.8,10,3,5354.96,0.0,0.0
58191161,0,20000,10.99,654.68,99000.0,0,37094,39.8,65,10,4558.34,1.0,0.0
42954129,0,12000,12.29,400.24,30000.0,0,2399,25.3,10,3,2793.49,1.0,0.0
40386543,1,15000,6.49,459.67,35000.0,1,24806,80.3,13,1,16262.7200117,0.0,1.0
59163214,0,12000,12.69,402.54,40000.0,1,7683,30.0,19,8,2811.97,0.0,1.0
63336294,1,5525,18.25,200.44,48000.0,1,13736,69.7,26,9,6066.28,0.0,0.0
56340119,1,3200,7.26,99.19,86000.0,1,26642,47.3,34,8,3414.51,0.0,0.0
50952942,0,9600,5.32,289.11,47000.0,1,9217,41.0,12,2,2883.43,0.0,1.0
61391223,1,10000,6.89,308.27,66000.0,1,12588,48.0,20,5,10204.71,0.0,0.0
60706934,1,15000,11.53,494.86,40000.0,1,12371,46.5,34,5,16126.03,0.0,1.0
56101890,1,28000,9.17,892.61,138000.0,0,44785,64.5,60,12,29919.28,0.0,0.0
68553395,1,6000,6.49,183.87,50000.0,0,5621,15.9,26,6,6207.64,0.0,0.0
47767355,1,6500,12.69,218.05,29500.0,1,6209,33.6,19,3,6744.85,0.0,1.0
38627106,1,6500,11.99,215.87,55000.0,0,11625,36.9,40,6,7048.32,0.0,0.0
63970004,1,12000,9.17,382.55,56100.0,1,13093,70.4,42,5,12874.1500008,1.0,0.0
51265524,1,7600,21.99,290.21,20000.0,1,14541,47.5,19,2,7612.31,0.0,1.0
51145716,1,30000,6.89,924.81,104000.0,1,81186,80.7,27,3,31816.2600009,0.0,0.0
58291421,1,17000,13.33,575.51,34000.0,1,13891,92.6,18,3,17007.87,1.0,0.0
38516765,1,12000,12.99,404.27,108000.0,0,11449,75.3,30,4,13878.66,0.0,0.0
61480608,1,10500,9.99,338.76,61000.0,1,14857,51.8,34,7,10549.53,0.0,0.0
51536559,1,4800,9.17,153.02,60000.0,0,5757,25.2,43,4,5182.94000001,0.0,0.0
39280618,1,28825,6.99,889.91,150000.0,1,39867,74.1,40,8,31448.47,0.0,0.0
64049218,1,24000,5.32,722.76,125000.0,0,24269,24.8,49,10,25101.49,0.0,0.0
42121525,1,6650,12.69,223.08,65000.0,0,10351,71.4,17,4,7268.26,0.0,0.0
41112360,0,8000,14.65,275.96,75000.0,1,11672,42.1,48,11,2640.41,0.0,1.0
40197117,1,22000,6.49,674.18,200000.0,1,25529,25.1,41,5,23400.570002,0.0,1.0
60893236,1,5600,7.89,175.2,110000.0,0,6687,32.0,21,8,5842.61,1.0,0.0
60255826,0,28550,18.25,1035.74,68000.0,0,11682,43.3,30,4,9292.72,1.0,0.0
62072944,1,8000,15.61,279.72,45000.0,1,6498,39.6,25,6,8477.78,1.0,0.0
42424705,1,8000,10.99,261.88,60000.0,0,25447,60.6,40,5,8724.89,1.0,0.0
44289421,0,22000,5.93,668.59,84000.0,1,44411,57.7,27,4,7416.05,1.0,0.0
53654232,0,32500,16.99,1158.56,65000.0,1,54589,89.5,16,1,11524.25,1.0,0.0
58410598,1,10000,8.18,314.2,40000.0,0,7257,36.3,21,6,10230.34,0.0,0.0
44755804,1,10000,16.99,356.48,100000.0,1,35151,96.3,14,4,12013.53,1.0,0.0
48627473,1,12000,12.29,400.24,112000.0,1,64608,85.9,8,2,13182.5900005,0.0,0.0
58240196,1,7500,8.18,235.65,82000.0,1,7565,39.8,22,4,8087.88,0.0,0.0
41750466,0,15000,7.89,469.29,70000.0,1,31243,31.8,21,5,1864.01,0.0,0.0
67377362,1,1000,12.59,33.5,43500.0,1,3069,6.5,36,15,1023.08,0.0,1.0
38589249,1,13000,6.99,401.35,60000.0,0,14676,17.0,61,8,13874.5524625,1.0,0.0
49883742,1,6000,13.33,203.12,85000.0,1,5334,49.9,29,8,6894.65000281,0.0,1.0
38627955,0,25000,11.99,830.24,100000.0,1,46925,81.5,21,5,11058.23,0.0,0.0
42334259,0,6000,13.33,203.12,19000.0,0,4203,44.2,11,6,2622.79,0.0,1.0
50536113,1,15000,7.89,469.29,65000.0,0,10082,61.9,22,1,15929.33,0.0,0.0
49037053,1,7000,9.17,223.16,48000.0,1,5801,33.3,24,8,7233.14,0.0,1.0
40411825,1,24000,7.49,746.44,136000.0,1,53057,58.2,17,1,26344.13,0.0,0.0
50223391,0,20400,12.29,680.41,67000.0,1,8569,19.6,45,18,6768.33,0.0,1.0
41009985,0,9600,7.89,300.35,83000.0,0,13544,82.1,22,4,4215.71,0.0,1.0
43390493,1,10200,9.17,325.17,57620.0,0,23995,45.1,25,6,10543.08,0.0,0.0
57195010,1,28000,5.32,843.22,150000.0,0,18834,30.5,32,4,29244.24,0.0,1.0
61702135,1,25000,7.89,782.15,60000.0,0,14627,29.7,16,2,25620.42,0.0,1.0
47179547,1,15000,9.17,478.19,85000.0,1,8722,46.4,24,3,16339.6900038,0.0,0.0
60317081,1,5000,9.17,159.4,50000.0,1,258782,33.6,38,9,5377.80000001,0.0,0.0
55432233,1,28000,12.29,933.89,104000.0,1,24786,41.4,63,13,31042.4522025,0.0,0.0
42954825,1,9000,11.53,296.92,47000.0,1,10681,55.1,29,11,9942.83000071,1.0,0.0
46456622,1,23000,10.99,752.89,65000.0,1,14977,56.1,12,6,25239.1200018,0.0,1.0
63621385,1,7000,6.89,215.79,45000.0,0,24538,47.4,17,3,7247.59,0.0,1.0
38446507,1,10000,11.44,329.48,30000.0,1,9953,38.7,39,7,11314.45,0.0,0.0
58662404,1,6000,7.89,187.72,45000.0,1,6953,80.8,41,2,6279.9,0.0,0.0
51666116,1,4350,14.65,150.05,54000.0,0,3644,7.1,11,6,4526.74,0.0,0.0
57014855,1,25000,16.99,891.2,129000.0,1,11484,65.2,52,17,25212.38,0.0,1.0
38458954,1,7500,9.49,240.22,60000.0,1,5627,25.8,56,4,8039.73,0.0,1.0
66601686,0,35000,17.57,1257.8,100000.0,1,70791,90.0,30,8,4962.87,0.0,0.0
39520047,1,5000,16.49,177.0,53000.0,1,4739,23.6,55,6,6013.9,1.0,0.0
56714594,0,11400,16.99,406.39,30000.0,1,5054,60.9,15,6,4088.99,0.0,1.0
41110639,0,21000,6.92,647.66,95000.0,1,39420,63.5,43,2,7802.82,1.0,0.0
38625265,1,28000,6.49,858.05,145000.0,1,51172,72.7,57,9,29014.51,0.0,0.0
62127646,1,12775,10.99,418.18,53000.0,0,17707,28.2,37,12,14027.66,0.0,0.0
57764427,1,15000,8.18,471.3,77000.0,1,30869,71.1,30,4,15934.28,0.0,0.0
47947298,1,9600,9.17,306.04,95000.0,0,4638,53.3,38,5,10510.09,0.0,0.0
58712467,1,28000,5.32,843.22,129000.0,1,73793,35.0,67,8,28872.2000019,0.0,0.0
54137279,0,20000,7.89,625.72,70000.0,1,15892,19.2,15,3,6874.15,1.0,0.0
60833289,1,20000,11.53,659.81,400000.0,1,40052,48.3,27,5,20878.26,0.0,0.0
54523322,1,8000,8.18,251.36,60000.0,1,13407,62.9,21,4,8182.59,0.0,0.0
64049800,1,35000,12.05,1163.34,90000.0,1,23268,71.6,22,3,35037.49,0.0,0.0
58210387,1,8000,8.18,251.36,58600.0,0,11384,57.0,20,10,8526.75,0.0,0.0
41110507,1,10000,6.39,305.99,70000.0,0,16638,23.2,50,5,10521.1,0.0,0.0
54218639,1,10500,13.33,355.46,30000.0,0,12112,44.0,11,6,10504.87,0.0,1.0
64171408,0,3500,9.17,111.58,36000.0,1,8962,71.7,34,3,715.91,0.0,1.0
49247784,1,15000,6.24,457.97,84000.0,1,15236,39.8,43,10,15622.74,0.0,0.0
53192824,0,18000,8.18,565.56,83500.0,1,426,1.2,29,4,6819.44,0.0,1.0
46094703,1,15000,6.92,462.61,50000.0,1,8458,34.1,22,7,15661.94,0.0,0.0
44776359,1,12800,7.89,400.46,169900.0,0,11989,54.2,57,9,13635.76,0.0,0.0
61323063,1,15000,14.65,517.42,82000.0,1,11487,40.0,43,14,15717.26,0.0,0.0
58360142,1,16000,13.33,541.65,85000.0,1,25247,87.1,17,3,18133.17,0.0,0.0
46446279,1,12000,6.68,368.78,47000.0,0,19273,47.8,32,3,12615.36,1.0,0.0
49056292,0,8500,11.53,280.42,27000.0,1,9581,58.4,15,4,1116.24,0.0,1.0
57664481,1,6000,12.29,200.12,45000.0,1,6987,88.4,8,5,6081.47,0.0,0.0
39877441,1,7500,6.03,228.27,55000.0,1,15249,23.1,32,5,7862.35,0.0,0.0
35863711,0,4200,8.19,131.99,12936.0,1,4076,28.7,5,0,4499.98,1.0,0.0
43349894,1,20000,6.92,616.82,110500.0,1,26535,32.4,38,11,20510.37,1.0,0.0
56051044,1,35000,16.99,1247.68,228000.0,1,65723,84.0,36,5,39569.8700062,0.0,0.0
38439426,1,7000,10.49,227.49,42804.0,1,16330,39.2,30,9,7288.52,1.0,0.0
38470333,1,10000,11.44,329.48,47700.0,1,8750,70.0,26,6,11364.46,0.0,1.0
48090297,1,19000,6.68,583.89,112000.0,1,26025,78.4,28,1,20092.7900086,0.0,0.0
43135654,1,9625,17.57,345.9,22000.0,1,18015,79.0,10,1,11255.1800005,1.0,0.0
51166617,1,20000,8.18,628.39,90000.0,1,13468,51.6,26,3,20464.87,0.0,1.0
56340247,0,9600,6.24,293.1,55859.0,0,14892,27.2,34,4,2642.89,0.0,1.0
39709602,1,11200,8.67,354.44,52000.0,1,21032,69.2,25,5,11735.44,0.0,0.0
43064803,1,16000,13.99,546.77,150000.0,0,14652,71.5,28,7,18789.88,0.0,0.0
46526720,1,28000,6.68,860.47,140000.0,1,35967,61.7,38,5,30139.5900004,0.0,0.0
65696452,1,3500,15.41,122.04,36000.0,1,3492,18.0,27,8,3846.82000001,0.0,1.0
61464951,1,8000,12.29,266.83,28000.0,0,10254,39.6,14,5,8003.56,0.0,1.0
67347130,1,19500,11.99,647.59,82000.0,0,16820,19.4,30,10,20474.16,1.0,0.0
47541405,1,7000,12.69,234.82,69000.0,1,6190,39.4,28,9,7574.58,0.0,0.0
55018795,1,24725,8.18,776.85,120000.0,1,34876,48.4,39,10,26804.89,0.0,0.0
48754979,1,21000,5.93,638.2,95000.0,1,11302,38.8,27,3,22281.69,1.0,0.0
40107240,1,6000,11.44,197.69,85000.0,0,6102,55.0,21,5,6641.92,0.0,0.0
65865928,1,15000,9.76,482.32,40000.0,1,14557,54.5,36,2,15012.76,0.0,1.0
39531769,1,20000,10.49,649.96,64300.0,1,22668,83.6,42,5,21898.01,0.0,0.0
59432501,1,9000,11.53,296.92,65000.0,1,15724,80.6,23,7,9499.65,0.0,0.0
58714185,1,5000,6.24,152.66,38400.0,0,6384,30.1,14,6,5149.92,0.0,0.0
64958908,1,10000,11.49,329.72,50000.0,1,8875,42.9,33,9,10365.37,0.0,0.0
39692785,1,10000,11.99,332.1,43000.0,0,4095,59.3,18,1,11081.4,1.0,0.0
49894518,1,2200,6.24,67.17,42000.0,0,712,12.1,20,3,2359.15,0.0,0.0
48696294,0,5900,15.61,206.3,30000.0,1,2731,41.4,7,6,1472.94,0.0,1.0
62297175,1,2400,12.69,80.51,50000.0,1,8970,65.5,41,5,2637.94,1.0,0.0
55637848,0,4000,10.99,130.94,75000.0,1,4164,26.5,26,12,914.14,0.0,1.0
59150162,1,6325,12.69,212.18,33000.0,1,19963,67.7,31,0,6740.6,0.0,1.0
42463536,1,33000,13.33,1117.16,75000.0,1,33683,74.5,45,3,37964.6400896,0.0,0.0
46804320,1,8000,9.17,255.04,45000.0,1,8580,66.0,39,3,8007.59,0.0,1.0
56089490,1,7000,12.69,234.82,40000.0,1,5122,41.0,37,9,7784.86,0.0,0.0
45017405,0,12000,10.99,392.81,64000.0,1,10386,40.0,29,6,4699.07,0.0,0.0
41152906,1,17000,7.89,531.86,80000.0,0,18286,40.0,42,5,18150.08,0.0,1.0
65502948,1,11000,8.18,345.62,69000.0,1,9414,42.6,20,3,11274.56,0.0,1.0
58260136,1,15000,12.29,500.3,100000.0,0,13726,69.0,17,5,15623.62,1.0,0.0
36803742,0,23325,14.99,808.46,95000.0,1,7127,40.7,15,1,4891.73,0.0,1.0
49955486,1,3050,7.89,95.43,47200.0,0,4350,48.4,23,6,3288.40000004,0.0,1.0
46775717,1,21000,5.93,638.2,126000.0,1,57311,61.7,24,3,21150.62,0.0,0.0
60804689,1,20000,7.89,625.72,62000.0,1,16042,47.5,23,4,20282.11,0.0,1.0
42904294,1,18000,6.68,553.16,50000.0,0,19287,41.7,26,4,19455.33,0.0,0.0
65272259,1,5000,6.89,154.14,30000.0,0,5035,39.3,12,5,5020.1,0.0,0.0
38495394,0,28000,8.67,886.1,65318.0,1,37701,93.1,32,1,11995.18,0.0,0.0
46348913,1,11000,14.65,379.44,33600.0,1,10769,66.5,14,7,12341.91,0.0,1.0
61762703,0,6000,12.69,201.27,38000.0,1,16762,82.6,10,3,800.85,0.0,0.0
46787389,1,2000,6.68,61.47,44000.0,0,1470,13.7,44,6,2064.03,0.0,0.0
60335399,1,11500,10.99,376.45,23000.0,0,6682,29.6,22,8,12714.0400004,0.0,1.0
60914516,1,2500,9.99,80.66,23600.0,1,64425,51.1,21,3,2682.33,1.0,0.0
43799275,1,7500,9.99,241.97,65000.0,1,7151,56.8,19,5,8023.95,1.0,0.0
66096970,1,24000,9.17,765.1,120000.0,0,34696,68.4,13,3,25576.96,0.0,0.0
41029785,1,5500,5.93,167.15,93000.0,0,4043,11.3,21,3,5668.02,0.0,0.0
56230272,1,15000,6.89,462.41,170000.0,0,63748,34.7,31,4,15202.7,0.0,0.0
56082427,1,5250,11.53,173.2,80000.0,1,8532,85.3,26,3,5890.89,0.0,1.0
43315390,1,7000,11.53,230.94,56000.0,1,7731,68.4,13,2,7370.69,0.0,1.0
50013171,1,18000,9.99,580.73,61000.0,0,4662,79.0,34,2,19819.4600077,0.0,0.0
53884682,1,7400,7.26,229.38,32000.0,1,12335,43.3,22,5,7914.72000034,0.0,1.0
49883556,0,17700,13.33,599.21,42000.0,1,8367,68.0,29,7,2982.94,0.0,1.0
65595273,1,2000,9.99,64.53,125000.0,0,19114,75.0,31,3,2033.36,1.0,0.0
48716643,1,15000,9.99,483.94,54000.0,0,13582,76.3,19,1,16181.0900012,0.0,1.0
39399343,1,12000,12.99,404.27,72000.0,1,20809,46.3,27,6,14043.1700012,1.0,0.0
38636029,1,16000,8.67,506.35,74832.0,0,17879,46.8,29,5,17462.69,0.0,1.0
38261287,0,35000,12.99,1179.12,136696.0,1,15588,73.2,18,5,21394.53,0.0,1.0
46732831,1,7900,16.99,281.62,45000.0,1,11117,88.9,12,2,8503.69,1.0,0.0
38545496,1,14400,6.49,441.29,95000.0,0,26616,35.7,21,1,15487.0900001,0.0,1.0
52209471,0,5500,7.89,172.08,28000.0,0,5703,65.6,12,2,2060.14,0.0,1.0
46774713,1,1500,8.18,47.13,55000.0,0,13351,53.8,20,7,1522.59,0.0,1.0
59553144,1,9600,8.18,301.63,59000.0,1,15740,38.9,55,10,9759.84,0.0,1.0
41021826,1,25000,6.39,764.98,122000.0,1,26023,58.0,14,1,26684.84,0.0,0.0
39369343,1,7000,14.99,242.63,60000.0,1,4433,26.1,31,4,7926.72,0.0,0.0
56087252,1,10175,13.33,344.46,55000.0,0,18668,73.2,24,5,10991.78,0.0,0.0
67348597,1,5000,5.32,150.58,108000.0,0,4618,6.4,26,4,5160.63,0.0,1.0
50625392,1,16200,12.29,540.32,45000.0,0,4508,42.1,16,5,18303.4,1.0,0.0
39540125,1,27500,12.99,926.46,120000.0,1,18656,82.2,25,2,30686.28,0.0,0.0
59341494,1,5000,10.99,163.67,40000.0,1,4243,68.4,30,5,5466.31,0.0,1.0
40540229,1,20000,6.99,617.46,105000.0,1,22500,91.5,13,1,21275.17,1.0,0.0
51888622,1,4000,10.99,130.94,63000.0,0,8506,12.3,15,4,4315.91,0.0,1.0
63958610,1,20000,10.99,654.68,98000.0,0,27691,36.9,56,16,20489.4,0.0,1.0
67959281,1,14000,6.89,431.58,90000.0,0,14232,96.8,31,3,14093.31,0.0,0.0
41140473,1,6500,6.92,200.47,45000.0,1,5930,29.5,47,4,6968.47000011,0.0,0.0
43956754,1,35000,11.53,1154.66,78000.0,1,26508,63.9,20,6,39452.490001,0.0,1.0
63428356,1,10800,10.99,353.53,42000.0,1,12566,28.5,32,16,11088.67,0.0,1.0
19276252,1,24000,6.49,735.47,82000.0,1,25451,25.2,37,5,25624.81,0.0,0.0
56129111,1,15000,6.24,457.97,43626.0,0,919,3.8,29,6,15784.03,0.0,0.0
39320359,1,10000,6.49,306.45,75000.0,0,9557,59.4,30,5,10145.99,0.0,0.0
54453287,0,4000,12.29,133.42,50000.0,0,8385,60.0,23,4,1383.86,0.0,1.0
57824591,1,6000,5.32,180.69,75000.0,1,9302,23.5,62,9,6169.27000052,0.0,1.0
38609509,1,10000,8.19,314.25,50000.0,0,11249,53.6,23,5,10977.07,0.0,0.0
64107973,1,12000,11.49,395.66,42000.0,1,8628,62.5,21,7,12259.61,0.0,1.0
39409928,1,13600,8.67,430.4,35000.0,1,11618,43.2,11,2,14576.86,0.0,1.0
58050297,1,5600,8.18,175.95,75000.0,0,4302,19.0,28,4,6004.58000009,0.0,1.0
45764477,1,17000,6.39,520.19,100800.0,1,16411,41.2,40,8,17589.06,0.0,0.0
51176989,1,28000,13.99,956.84,110000.0,0,43785,68.3,18,2,32019.3700022,0.0,1.0
56049445,1,11200,12.69,375.71,98000.0,1,10913,56.3,13,4,11948.17,0.0,1.0
48574694,1,5400,12.29,180.11,54000.0,0,7307,48.1,53,8,5705.46,0.0,0.0
40483592,1,14000,12.39,467.62,100000.0,1,17729,58.9,16,4,15707.0700048,1.0,0.0
49117229,1,25000,7.26,774.91,115000.0,1,21434,85.7,22,3,26732.08,0.0,1.0
50839912,1,6000,8.18,188.52,45000.0,0,5054,41.8,11,2,6506.11,1.0,0.0
43471587,1,27000,6.92,832.7,65000.0,1,12174,78.5,19,1,28391.5,0.0,1.0
40856232,1,24000,6.39,734.38,54000.0,1,36017,63.0,11,1,25965.5700026,0.0,1.0
50556976,1,8000,11.53,263.93,78000.0,1,16361,60.4,33,8,8570.91,0.0,0.0
63457198,1,8975,10.99,293.79,52000.0,1,16143,44.6,37,11,9348.3,0.0,0.0
41144064,1,20000,6.39,611.98,52000.0,1,16911,62.9,30,5,21278.66,0.0,0.0
40227868,1,10000,13.66,340.13,82000.0,0,13689,49.1,47,6,11702.59,0.0,0.0
57206198,0,15000,6.89,462.41,38000.0,0,13071,68.4,14,2,5091.96,0.0,1.0
50313201,1,5450,10.99,178.41,50000.0,0,5482,52.7,19,2,5824.85,0.0,0.0
43839576,1,20000,7.89,625.72,84000.0,1,4806,19.9,12,2,21826.1000001,0.0,1.0
58932683,1,16500,7.26,511.44,96913.0,0,11972,42.5,39,2,17569.48,1.0,0.0
62500065,0,8000,7.89,250.29,58000.0,1,4709,68.2,59,3,1498.23,0.0,1.0
66510683,1,22400,11.99,743.9,105000.0,1,30643,92.9,28,4,23050.7700004,0.0,1.0
51676387,1,5000,5.32,150.58,60000.0,0,5448,10.1,32,1,5269.56,0.0,0.0
39409319,1,15000,6.49,459.67,80000.0,0,21155,15.7,56,3,16027.76,0.0,0.0
53092027,1,7000,10.99,229.14,92000.0,1,15818,42.8,22,11,7012.83,0.0,0.0
50475786,0,35000,14.65,1207.3,123000.0,1,9352,62.9,18,6,8351.99,1.0,0.0
43096292,1,11000,9.99,354.89,37330.0,1,15185,77.1,36,3,11541.36,0.0,0.0
43349579,0,10000,12.69,335.45,65000.0,1,2861,92.3,18,6,3620.11,1.0,0.0
60740367,1,21600,8.18,678.67,200000.0,1,12178,29.4,43,7,22980.8,0.0,0.0
38191560,1,24000,11.99,797.03,150000.0,1,17592,54.5,32,4,25853.11,0.0,0.0
38537133,1,8000,8.19,251.4,31000.0,1,5393,39.9,27,6,8384.54,0.0,0.0
45814363,1,28000,7.89,876.0,98500.0,1,37226,88.0,17,2,28900.02,0.0,0.0
65220396,1,5000,16.99,178.24,50000.0,1,16417,84.2,26,15,5072.9,0.0,1.0
46094887,1,8800,7.89,275.32,80000.0,0,8521,35.5,14,2,9322.2,0.0,0.0
46642791,1,5000,7.89,156.43,90000.0,0,7118,17.8,25,7,5150.84,0.0,1.0
50415888,1,8000,9.99,258.1,45000.0,0,8193,22.1,22,7,8347.56,0.0,1.0
56502632,1,6400,7.26,198.38,21000.0,1,5161,13.9,30,6,6716.71,0.0,1.0
48050545,1,5600,5.93,170.19,60000.0,1,1730,4.8,36,9,5846.88,0.0,0.0
62296666,1,6600,10.99,216.05,75000.0,1,5726,70.7,32,2,7011.64,0.0,0.0
